data_type,count,metric,value,result_set
boolean,25,correct_rate,0.64,categorical_llm_results
boolean,25,judge_score_mean,0.96,categorical_llm_results
date,1,correct_rate,1.0,categorical_llm_results
date,1,judge_score_mean,1.0,categorical_llm_results
enum,4,correct_rate,0.5,categorical_llm_results
enum,4,judge_score_mean,0.75,categorical_llm_results
identifier,10,correct_rate,0.3,categorical_llm_results
identifier,10,judge_score_mean,1.0,categorical_llm_results
number,8,correct_rate,0.25,categorical_llm_results
number,8,judge_score_mean,0.875,categorical_llm_results
percentage,10,correct_rate,0.2,categorical_llm_results
percentage,10,judge_score_mean,0.9,categorical_llm_results
categorical_combined,58,correct_rate,0.4483,categorical_llm_results_combined
categorical_combined,58,judge_score_mean,0.931,categorical_llm_results_combined
list,2,hybrid_text_score_mean,0.2,descriptive_llm_results
list,2,judge_score_mean,0.2,descriptive_llm_results
list,2,semantic_similarity_mean,0.2,descriptive_llm_results
list,2,token_f1_like_mean,0.2,descriptive_llm_results
long_text,19,hybrid_text_score_mean,0.3316,descriptive_llm_results
long_text,19,judge_score_mean,0.3316,descriptive_llm_results
long_text,19,semantic_similarity_mean,0.3105,descriptive_llm_results
long_text,19,token_f1_like_mean,0.3342,descriptive_llm_results
text,7,hybrid_text_score_mean,0.2714,descriptive_llm_results
text,7,judge_score_mean,0.2714,descriptive_llm_results
text,7,semantic_similarity_mean,0.2571,descriptive_llm_results
text,7,token_f1_like_mean,0.2714,descriptive_llm_results
descriptive_combined,28,hybrid_text_score_mean,0.3072,descriptive_llm_results_combined
descriptive_combined,28,judge_score_mean,0.3072,descriptive_llm_results_combined
descriptive_combined,28,semantic_similarity_mean,0.2893,descriptive_llm_results_combined
descriptive_combined,28,token_f1_like_mean,0.3089,descriptive_llm_results_combined
