data_type,count,metric,value,result_set
boolean,25,correct_rate,0.44,categorical_llm_results
boolean,25,judge_score_mean,0.84,categorical_llm_results
date,1,correct_rate,0.0,categorical_llm_results
date,1,judge_score_mean,1.0,categorical_llm_results
enum,3,correct_rate,0.3333,categorical_llm_results
enum,3,judge_score_mean,0.6667,categorical_llm_results
identifier,11,correct_rate,0.3636,categorical_llm_results
identifier,11,judge_score_mean,0.9091,categorical_llm_results
number,8,correct_rate,0.375,categorical_llm_results
number,8,judge_score_mean,0.875,categorical_llm_results
percentage,5,correct_rate,0.0,categorical_llm_results
percentage,5,judge_score_mean,1.0,categorical_llm_results
categorical_combined,53,correct_rate,0.3585,categorical_llm_results_combined
categorical_combined,53,judge_score_mean,0.8679,categorical_llm_results_combined
list,2,hybrid_text_score_mean,0.05,descriptive_llm_results
list,2,judge_score_mean,0.05,descriptive_llm_results
list,2,semantic_similarity_mean,0.05,descriptive_llm_results
list,2,token_f1_like_mean,0.05,descriptive_llm_results
long_text,17,hybrid_text_score_mean,0.4765,descriptive_llm_results
long_text,17,judge_score_mean,0.4765,descriptive_llm_results
long_text,17,semantic_similarity_mean,0.4647,descriptive_llm_results
long_text,17,token_f1_like_mean,0.4765,descriptive_llm_results
text,5,hybrid_text_score_mean,0.72,descriptive_llm_results
text,5,judge_score_mean,0.72,descriptive_llm_results
text,5,semantic_similarity_mean,0.72,descriptive_llm_results
text,5,token_f1_like_mean,0.72,descriptive_llm_results
descriptive_combined,24,hybrid_text_score_mean,0.4917,descriptive_llm_results_combined
descriptive_combined,24,judge_score_mean,0.4917,descriptive_llm_results_combined
descriptive_combined,24,semantic_similarity_mean,0.4833,descriptive_llm_results_combined
descriptive_combined,24,token_f1_like_mean,0.4917,descriptive_llm_results_combined
