contract_file_name,contract_id,question,expected_type,gold_value,predicted_value,group,score,is_correct,confidence,verdict,explanation,precision,recall,f1,cosine_similarity,token_f1,hybrid_text_score,status,raw_answer,citations
Contract__3.pdf,Contract__3,What is the Execution Date of the Contract Agreement?,date,2023-05-22 00:00:00,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__3.pdf,Contract__3,What is the AIA Form of Contract Agreement?,identifier,Custom Contract,Guaranteed Maximum Price Construction Agreement Between the Owner and the General Contractor,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer does not match the gold answer. The gold answer specifies 'Custom Contract' while the predicted answer specifies a different type of contract.,,,,,,,mismatch,Guaranteed Maximum Price Construction Agreement Between the Owner and the General Contractor,['c00039']
Contract__3.pdf,Contract__3,What are the are the Liquidated Damages Terms & Conditions?,long_text,"$2,000/day beyond the Substantial Completion date","The Contractor and Owner waive Claims against each other for consequential, special, indirect, exemplary, or punitive damages arising out of or relating to this Contract. This mutual waiver includes, without limitation, damages incurred by the Owner for additional interest, penalties, taxes, insurance, additional marketing or management costs, rental expenses, for losses of use, income, profit, financing, business and reputation to Owner or to the Project, and for loss of management or employee productivity or of the services of such persons and for lost or deferred sales, rents or use of property including the Project or portions thereof or reduced sales or rent prices or diminution in value, and damages incurred by the Contractor for principal office expenses including the compensation of personnel stationed there, for losses of financing, business and reputation, and for loss of profit except anticipated profit arising directly from the Work. This mutual waiver is applicable, without limitation, to all consequential damages due to either party's termination of the Contract as provided in the Contract Documents. Nothing contained in this Section 4.3.10 shall be deemed to preclude an award of agreed liquidated damages in accordance with the requirements of the Agreement.",descriptive_metrics,0.1,,0.9,incorrect,"The predicted answer does not address the specific liquidated damages terms and conditions, which are clearly stated in the gold answer as $2,000/day beyond the Substantial Completion date.",,,,0.1,0.1,0.1,mismatch,"The Contractor and Owner waive Claims against each other for consequential, special, indirect, exemplary, or punitive damages arising out of or relating to this Contract.","['c00099', 'c00098']"
Contract__3.pdf,Contract__3,What is the Article # for Consequential & Liquidated Damages?,identifier,3.3 Liquidated Damages in lieu of consequential damages; General Conditions 4.3.10 mutual waiver of consequential damages,4.3.10,categorical_accuracy,0.5,False,0.0,partial,The predicted answer '4.3.10' is part of the gold answer but does not include the full identifier '3.3 Liquidated Damages in lieu of consequential damages; General Conditions 4.3.10 mutual waiver of consequential damages'.,,,,,,,mismatch,4.3.10,"['c00099', 'c00098']"
Contract__3.pdf,Contract__3,What is the CCIP Rate % for this Project?,percentage,2.5,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,"['c00171', 'c00172']"
Contract__3.pdf,Contract__3,Is IMC or the Owner carrying the Builder's Risk Policy for this project?,enum,IMC,Owner,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'Owner' contradicts the gold answer 'IMC'.,,,,,,,mismatch,Builder’s Risk Insurance Policy maintained by the Owner.,['c00310']
Contract__3.pdf,Contract__3,What is the Builders Risk %?,percentage,CM 1% ; BR 0.35%,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__3.pdf,Contract__3,What is the Builders Risk Deductible? ($),currency,"CM $5,000/claim; BR $10,000 for all losses except flood, earthquake, and windstorm to be $25,000",10000,categorical_accuracy,0.5,False,0.0,partial,The predicted answer only provides part of the information. It misses the specific conditions for different types of losses and the other deductible amounts.,,,,,,,mismatch,"$10,000",['c00318']
Contract__3.pdf,Contract__3,What is the Payment & Performance Bond Article #?,identifier,Exhibit J - Section 6 (Page 13),6,categorical_accuracy,0.5,False,0.0,partial,The predicted answer '6' is incomplete. The full identifier 'Exhibit J - Section 6 (Page 13)' provides more specific information.,,,,,,,mismatch,6,"['c00326', 'c00103']"
Contract__3.pdf,Contract__3,What are the Payment & Performance Bond Article Terms & Conditions?,long_text,Performance and Labor and Materials Bond (AIA 312) equal to 100% of Contract Price and amended by change orders if approved by owner and at the time of Contract award remaining in full effect through warranty and extended warranty periods.  Amount paid as cost of work is limited to premium evidenced on an invoice from surety.,"The Owner has the right to require the Contractor to furnish bonds that cover the Contractor’s faithful performance of the Contract and payment of obligations arising thereunder. Upon the Owner's request, the Contractor must purchase and maintain a Performance and Labor and Materials Bond executed by a Surety with a minimum rating of A.M. Best A, in favor of the Owner, on a standard AIA bond form, A312. This bond must be in an amount equal to 100% of the Contract Price and must remain in full force and effect through the warranty and extended warranty periods. The Contractor must provide a copy of the bonds to any potential beneficiary upon request.",descriptive_metrics,0.8,,0.9,partial,"The predicted answer captures most of the important content of the gold answer, including the requirement for a Performance and Labor and Materials Bond equal to 100% of the Contract Price and its duration through the warranty periods. However, it adds additional details about the Owner's rights and the Surety's rating, which are not present in the gold answer.",,,,0.8,0.8,0.8,mismatch,"The Owner has the right to require the Contractor to furnish bonds that cover the Contractor’s faithful performance of the Contract and payment of obligations arising thereunder. Upon the Owner's request, the Contractor must purchase and maintain a Performance and Labor and Materials Bond executed by a Surety with a minimum rating of A.M. Best A, in favor of the Owner, on a standard AIA bond form, A312. This bond must be in an amount equal to 100% of the Contract Price and must remain in full force and effect through the warranty and extended warranty periods. The Contractor must provide a copy of the bonds to any potential beneficiary upon request.",['c00326']
Contract__3.pdf,Contract__3,What is the Contract Documents Definition & Incorporation Article #?,identifier,General Conditions of GMP - 1.1.1,14,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer '14' does not match the gold answer 'General Conditions of GMP - 1.1.1' and does not provide the correct identifier.,,,,,,,mismatch,ARTICLE 14,['c00035']
