data_type,count,metric,value,result_set
boolean,25,correct_rate,0.72,categorical_llm_results
boolean,25,judge_score_mean,0.92,categorical_llm_results
currency,1,correct_rate,0.0,categorical_llm_results
currency,1,judge_score_mean,0.5,categorical_llm_results
date,1,correct_rate,0.0,categorical_llm_results
date,1,judge_score_mean,1.0,categorical_llm_results
enum,4,correct_rate,0.25,categorical_llm_results
enum,4,judge_score_mean,1.0,categorical_llm_results
identifier,29,correct_rate,0.2759,categorical_llm_results
identifier,29,judge_score_mean,0.8793,categorical_llm_results
number,8,correct_rate,0.5,categorical_llm_results
number,8,judge_score_mean,1.0,categorical_llm_results
percentage,9,correct_rate,0.1111,categorical_llm_results
percentage,9,judge_score_mean,1.0,categorical_llm_results
categorical_combined,77,correct_rate,0.4156,categorical_llm_results_combined
categorical_combined,77,judge_score_mean,0.9221,categorical_llm_results_combined
list,3,hybrid_text_score_mean,0.0833,descriptive_llm_results
list,3,judge_score_mean,0.0833,descriptive_llm_results
list,3,semantic_similarity_mean,0.1,descriptive_llm_results
list,3,token_f1_like_mean,0.0833,descriptive_llm_results
long_text,22,hybrid_text_score_mean,0.4523,descriptive_llm_results
long_text,22,judge_score_mean,0.4523,descriptive_llm_results
long_text,22,semantic_similarity_mean,0.4455,descriptive_llm_results
long_text,22,token_f1_like_mean,0.4523,descriptive_llm_results
text,6,hybrid_text_score_mean,0.3833,descriptive_llm_results
text,6,judge_score_mean,0.3833,descriptive_llm_results
text,6,semantic_similarity_mean,0.3833,descriptive_llm_results
text,6,token_f1_like_mean,0.3833,descriptive_llm_results
descriptive_combined,31,hybrid_text_score_mean,0.4032,descriptive_llm_results_combined
descriptive_combined,31,judge_score_mean,0.4032,descriptive_llm_results_combined
descriptive_combined,31,semantic_similarity_mean,0.4,descriptive_llm_results_combined
descriptive_combined,31,token_f1_like_mean,0.4032,descriptive_llm_results_combined
