data_type,count,metric,value,result_set
boolean,25,correct_rate,0.72,categorical_llm_results
boolean,25,judge_score_mean,1.0,categorical_llm_results
currency,1,correct_rate,0.0,categorical_llm_results
currency,1,judge_score_mean,1.0,categorical_llm_results
date,1,correct_rate,0.0,categorical_llm_results
date,1,judge_score_mean,0.0,categorical_llm_results
enum,4,correct_rate,0.25,categorical_llm_results
enum,4,judge_score_mean,1.0,categorical_llm_results
identifier,11,correct_rate,0.3636,categorical_llm_results
identifier,11,judge_score_mean,0.8182,categorical_llm_results
number,9,correct_rate,0.5556,categorical_llm_results
number,9,judge_score_mean,1.0,categorical_llm_results
percentage,10,correct_rate,0.2,categorical_llm_results
percentage,10,judge_score_mean,1.0,categorical_llm_results
categorical_combined,61,correct_rate,0.4918,categorical_llm_results_combined
categorical_combined,61,judge_score_mean,0.9508,categorical_llm_results_combined
list,2,hybrid_text_score_mean,0.1,descriptive_llm_results
list,2,judge_score_mean,0.1,descriptive_llm_results
list,2,semantic_similarity_mean,0.1,descriptive_llm_results
list,2,token_f1_like_mean,0.1,descriptive_llm_results
long_text,21,hybrid_text_score_mean,0.4024,descriptive_llm_results
long_text,21,judge_score_mean,0.4024,descriptive_llm_results
long_text,21,semantic_similarity_mean,0.381,descriptive_llm_results
long_text,21,token_f1_like_mean,0.4024,descriptive_llm_results
text,7,hybrid_text_score_mean,0.5071,descriptive_llm_results
text,7,judge_score_mean,0.5071,descriptive_llm_results
text,7,semantic_similarity_mean,0.5,descriptive_llm_results
text,7,token_f1_like_mean,0.5071,descriptive_llm_results
descriptive_combined,30,hybrid_text_score_mean,0.4067,descriptive_llm_results_combined
descriptive_combined,30,judge_score_mean,0.4067,descriptive_llm_results_combined
descriptive_combined,30,semantic_similarity_mean,0.39,descriptive_llm_results_combined
descriptive_combined,30,token_f1_like_mean,0.4067,descriptive_llm_results_combined
