contract_file_name,contract_id,question,expected_type,gold_value,predicted_value,group,score,is_correct,confidence,verdict,explanation,precision,recall,f1,cosine_similarity,token_f1,hybrid_text_score,status,raw_answer,citations
Contract__9.pdf,Contract__9,What is the Execution Date of the Contract Agreement?,date,2023-06-02 00:00:00,2021-02-04,categorical_accuracy,0.0,False,0.0,incorrect,The predicted answer provides a different date than the gold answer.,,,,,,,mismatch,02/04/2021,"['c00026', 'c00047']"
Contract__9.pdf,Contract__9,What is the AIA Form of Contract Agreement?,identifier,A102 - GMP Cost Plus Fee,AIA Document A201,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'AIA Document A201' does not match the gold answer 'A102 - GMP Cost Plus Fee'. They refer to different forms of contract agreements.,,,,,,,mismatch,AIA Document A201,"['c00000', 'c00017']"
Contract__9.pdf,Contract__9,What is the Contract Type for this Project? (Custom Text Answer),enum,GMP (Cost + Fee),General Contractor,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'General Contractor' does not match the gold answer 'GMP (Cost + Fee)'. They represent different contract types.,,,,,,,mismatch,General Contractor,['c00030']
Contract__9.pdf,Contract__9,What are the are the Liquidated Damages Terms & Conditions?,long_text,"One Thousand and 00/100 Dollars per day ($1,000.00/day) for days 1-15 days after the Contract Time 
Two Thousand and 00/100 Dollars per day ($2,000.00/day) for days 16-30 after the Contract Time; and  
Three Thousand and 00/100 Dollars per day ($3,000.00/day) beginning on the 31st   day after the Contract Time and continuing until the Contractor achieves Substantial Completion.","The Contractor and Owner waive Claims against each other for consequential damages arising out of or relating to this Contract. This mutual waiver includes damages incurred by the Owner for rental expenses, for losses of use, income, profit, financing, business and reputation, and for loss of management or employee productivity or of the services of such persons; and damages incurred by the Contractor for principal office expenses including the compensation of personnel stationed there, for losses of financing, business and reputation, and for loss of profit, except anticipated profit arising directly from the Work. This waiver is applicable, without limitation, to all consequential damages due to either party’s termination in accordance with Article 14. Nothing contained in this Section 15.1.7 shall be deemed to preclude assessment of liquidated damages, when applicable, in accordance with the requirements of the Contract Documents.",descriptive_metrics,0.0,,1.0,incorrect,"The predicted answer does not address the liquidated damages terms and conditions. It discusses the waiver of claims for consequential damages, which is unrelated to the liquidated damages specified in the gold answer.",,,,0.0,0.0,0.0,mismatch,The Contractor and Owner waive Claims against each other for consequential damages arising out of or relating to this Contract.,"['c00127', 'c00124']"
Contract__9.pdf,Contract__9,What is the CCIP Rate % for this Project?,percentage,2.5,5,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer '5' is not the same as the gold answer '2.5'.,,,,,,,mismatch,Five (5%) percent per annum,"['c00154', 'c00180']"
Contract__9.pdf,Contract__9,What is the Builders Risk Deductible? ($),currency,25000,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__9.pdf,Contract__9,What is the Builders Risk Waiver of Subrogation Appendix / Exhibit (Letter or Number) if the Owner Carries the Policy,identifier,11.3.1,Exhibit A,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'Exhibit A' does not match the gold answer '11.3.1'. They refer to different identifiers.,,,,,,,mismatch,Exhibit A,"['c00109', 'c00112']"
Contract__9.pdf,Contract__9,Is Professional Liability Insurance Required for this project?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,All such design professionals shall be required to carry professional liability insurance for the Project.,"['c00054', 'c00109']"
Contract__9.pdf,Contract__9,Is a Payment & Performance Bond Required for this project?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"Payment Bond, Performance Bond and Performance Bond and Payment Bond","['c00012', 'c00108']"
Contract__9.pdf,Contract__9,"What are the Contract Documents Definition & Incorporation Definitions, Terms, & Conditions?",long_text,"The Contract Documents consist of the Agreement between the Owner and Contractor (hereinafter the Agreement), Conditions of the Contract (General, Supplementary and other Conditions), Drawings, Specifications, Addenda issued prior to execution of the Contract, other documents listed in the Agreement, and Modifications issued after execution of the Contract.","The Contract Documents consist of the Agreement between the Owner and Contractor, Conditions of the Contract (General, Supplementary, and other Conditions), Drawings, Specifications, Addenda issued prior to execution of the Contract, other documents listed in the Agreement, and Modifications issued after execution of the Contract. A Modification is a written amendment to the Contract signed by both parties, a Change Order, a Construction Change Directive, or a written order for a minor change in the Work issued by the Owner. The Contract Documents do not include bidding requirements, advertisement or invitation to bid, Instructions to Bidders, sample forms, other information furnished by the Owner in anticipation of receiving bids or proposals, the Contractor’s bid or proposal, or portions of Addenda relating to bidding or proposal requirements. The Contract represents the entire and integrated agreement between the parties and supersedes prior negotiations, representations, or agreements, either written or oral. The Contract may be amended or modified only by a Modification. The Contract Documents shall not create a contractual relationship of any kind between the Contractor and the Architect or the Architect’s consultants, between the Owner and a Subcontractor or a Sub-subcontractor, or between any persons or entities other than the Owner and the Contractor.",descriptive_metrics,0.8,,0.9,partial,The predicted answer captures the core elements of the gold answer but includes additional information not present in the gold answer. The extra details do not contradict the gold answer but extend beyond the required scope.,,,,0.8,0.8,0.8,mismatch,"The Contract Documents consist of the Agreement between the Owner and Contractor, Conditions of the Contract, Drawings, Specifications, Addenda, other documents listed in the Agreement, and Modifications issued after execution of the Contract. The Contract represents the entire and integrated agreement between the parties and supersedes prior negotiations, representations, or agreements.","['c00017', 'c00018']"
